Actie;Actie omschrijving;Beleidsitem;Beleidsitem omschrijving;Ontvangst/uitgave;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Krediet 2016;Rekening 2015;Vorderingstaten 2016 tot nu;Nog te innen;Verschil 2016 - (2015);Verschil % 2016-2015;;Bijkomend BW 1-2016;Krediet na BW 1-2016;Opmerkingen;invloed MJP
GBB-CBS;Gelijkblijvend beleid CBS;0030-00;Financiële aangelegenheden;O;2903000;Vorderingen wegens toegestane leningen - nominale waarde;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0030-00;Financiële aangelegenheden;O;7500000;Opbrengsten uit financiÃ«le vaste activa;IE-GEEN; € 20.300,00 ; € 51.782,60 ; € 4.844,08 ; € 15.455,92 ;-46938,52;-90,65 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0030-00;Financiële aangelegenheden;O;7510000;Creditintresten op rekening courant;IE-GEEN; € 200,00 ; € 10,52 ; € 3,06 ; € 196,94 ;-7,46;-70,91 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0030-00;Financiële aangelegenheden;O;7510002;Opbrengsten termijn -en spaarrekeningen;IE-GEEN; € 5.000,00 ; € 17.226,76 ; € 24,33 ; € 4.975,67 ;-17202,43;-99,86 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0040-00;Transacties in verband met de openbare schuld;O;1733000;Schulden aan kredietinstellingen ten laste van het bestuur;IE-GEEN; € -   ; € 3.600.000,00 ; € 1.025.000,00 ; € -1.025.000,00 ;-2575000;-71,53 %;; € 1.800.000,00 ; € 1.800.000,00 ;Wijziging AR (1733 ipv 1749);idem
GBB-CBS;Gelijkblijvend beleid CBS;0040-00;Transacties in verband met de openbare schuld;O;1740000;Prefinancieringsleningen;IE-GEEN; € -   ; € 237.852,57 ; € -   ; € -   ;-237852,57;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0040-00;Transacties in verband met de openbare schuld;O;1749000;Overige leningen;IE-GEEN; € 1.800.000,00 ; € -   ; € -   ; € 1.800.000,00 ;0;-;; € -1.800.000,00 ; € -   ;Wijziging AR (1733 ipv 1749);idem
GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;O;7000002;Verkoop van houthak;IE-GEEN; € -   ; € -   ; € 1.810,00 ; € -1.810,00 ;1810;-;; € 1.810,00 ; € 1.810,00 ;houtverkoop;
GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;O;7040999;Andere terugvorderingen en tussenkomsten;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;O;7050002;Opbrengsten uit verhuur woningen en flats;IE-GEEN; € 72.741,00 ; € 56.523,72 ; € 33.042,75 ; € 39.698,25 ;-23480,97;-41,54 %;;;;;
