Code;Actie;Actie oms.;Beleidsitem code;Ontvangst/Uitgave;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Eerste omschrijving;Verantwoordelijke/dienst;2014;2015;2016;2017;2018;2019;;totaal per project;;Opmerkingen Liesbeth;;;;;;;;;;
BP2014_2019-2T/3.3.3.1/0750-00/2200500/BESTUUR/CBS/IE6/U;3.3.3.1;Aanleggen en onderhouden van gemeentelijke speelterreinen;0750-00;U;2200500;Onbebouwde terreinen - sport- en speelpleinen - gemeenschapsgoederen;IE6;speelbos Pimberg;Kelly;Û 0,00;Û 0,00;Û 9 300,00;;;;;9 300,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.3.1/0750-00/2400000/BESTUUR/CBS/IE6/U;3.3.3.1;Aanleggen en onderhouden van gemeentelijke speelterreinen;0750-00;U;2400000;Meubilair - gemeenschapsgoederen;IE6;aanleg  speelpleinen;Kelly;Û 0,00;Û 5 000,00;Û 5 000,00;;Û 5 000,00;;;15 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.3.2/0750-00/2400000/BESTUUR/CBS/IE6/U;3.3.3.2;Aankopen van speeltoestellen;0750-00;U;2400000;Meubilair - gemeenschapsgoederen;IE6;aankoop van speeltoestellen (inrichting speelpleinen);Kelly;Û 2 928,20;Û 14 366,87;Û 8 000,00;Û 2 000,00;;Û 10 000,00;;37 295,07;;;;;;;;;;;;
BP2014_2019-2T/3.3.4.1/0310-00/2140007/BESTUUR/CBS/IE6/U;3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;U;2140007;Plannen en studies - Activa in aanbouw;IE6;erelonen Dreefstraat, Herpendaalstraat, Groenstraat;Jan;Û 1 233,11;Û 10 000,00;Û 59 266,89;Û 10 800,00;Û 38 000,00;Û 27 900,00;;147 200,00;;52 200,00;;;;;;;;;;
BP2014_2019-2T/3.3.4.1/0310-00/2280007/BESTUUR/CBS/IE6/U;3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;U;2280007;Riolering - Activa in aanbouw;IE6;riolering diverse straten en ev. heraanleg straat;Jan;Û 0,00;Û 150 000,00;;Û 245 032,00;Û 950 000,00;Û 305 000,00;;1 650 032,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.4.2/0341-00/2200100/BESTUUR/CBS/IE6/U;3.3.4.2;Aanleggen van waterbufferbekkens in het kader van erosie;0341-00;U;2200100;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;IE6;aankoop grond bufferbekken Smisstraat;Bruno/Jan;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.4.2/0341-00/2203000/BESTUUR/CBS/IE6/U;3.3.4.2;Aanleggen van waterbufferbekkens in het kader van erosie;0341-00;U;2203000;Terreinen van waterlopen - gemeenschapsgoederen;IE6;aanleg bufferbekken Smisstraat/Langestr/Rijsmortelstr;Jan;Û 0,00;;Û 109 000,00;;;;;109 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.4.3/0341-00/2140000/BESTUUR/CBS/IE6/U;3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;U;2140000;Plannen en studies;IE6;Plannen en studies erosiebestrijding Kloosterstr/Hollew;Jan;Û 0,00;Û 0,00;Û 7 440,00;;;;;7 440,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.4.3/0341-00/2200100/BESTUUR/CBS/IE6/U;3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;U;2200100;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;IE6;aankoop grond bufferbekkenMiddelbosstraat;Bruno;Û 0,00;Û 0,00;Û 7 500,00;;;;;7 500,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.4.3/0341-00/2203000/BESTUUR/CBS/IE6/U;3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;U;2203000;Terreinen van waterlopen - gemeenschapsgoederen;IE6;Erosiebestrijding;Jan;Û 0,00;;Û 115 000,00;Û 93 000,00; ;;;208 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.4.4/0319-00/2203000/BESTUUR/CBS/IE6/U;3.3.4.4;Voeren van een milieuvriendelijk waterlopenbeheer;0319-00;U;2203000;Terreinen van waterlopen - gemeenschapsgoederen;IE6;Terreinen van waterlopen - gemeenschapsgoederen;Jan;;Û 0,00;Û 10 000,00;;;;;10 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.4.5/0310-00/2280007/BESTUUR/CBS/IE6/U;3.3.4.5;Bouwen en onderhouden van installaties voor individuele afvalwaterzuivering;0310-00;U;2280007;Riolering - Activa in aanbouw;IE6;Aankoop IBA's;Jan;Û 5 596,16;Û 24 800,00;Û 20 000,00;Û 20 000,00;Û 20 000,00;Û 10 000,00;;100 396,16;;;;;;;;;;;;
BP2014_2019-2T/3.4.1.1/0119-00/2210107/BESTUUR/CBS/IE6/U;3.4.1.1;Vervullen van een voorbeeldrol op vlak van energiebesparing;0119-00;U;2210107;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE6;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;Bruno;;Û 116 652,46;;;;;;116 652,46;;;;;;;;;;;;
BP2014_2019-2T/3.4.3.1/0309-00/2220007/BESTUUR/CBS/IE6/U;3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;U;2220007;Bebouwde terreinen - gemeenschapsgoederen - Activa in aanbouw;IE6;Aanpassingswerken CP :  verharding, kws-afscheider;Lies;Û 0,00;Û 40 300,00;;;;;;40 300,00;;;;;;;;;;;;
BP2014_2019-2T/3.4.3.1/0309-00/2350000/BESTUUR/CBS/IE6/U;3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;U;2350000;Installaties, machines en uitrusting - bedrijfsmatige MVA;IE6;aankoop perscontainer;Lies;Û 19 056,29;;;;;;;19 056,29;;;;;;;;;;;;
BP2014_2019-2T/3.4.3.3/0200-00/2300000/BESTUUR/CBS/IE6/U;3.4.3.3;Reduceren van bestrijdingsmiddelen;0200-00;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;onkruidborstel voor montage op tractor;Lies;Û 26 317,50;;;;;;;26 317,50;;;;;;;;;;;;
BP2014_2019-2T/3.5.1.2/0610-00/2140000/BESTUUR/CBS/IE4/U;3.5.1.2;Opmaken en uitvoeren van een RUP herstructurering oude melkerij Bierbeek;0610-00;U;2140000;Plannen en studies;IE4;RUP D'store;Ludo;Û 0,00;Û 0,00;Û 15 000,00;;;;;15 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.1/0119-00/2210107/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0119-00;U;2210107;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE5;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;Bruno;;;Û 10 000,00;;;;;10 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.1/0701-00/2400000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0701-00;U;2400000;Meubilair - gemeenschapsgoederen;IE5;theatertechnische investeringen;Dieter;Û 4 714,99;Û 5 285,01;Û 5 000,00;Û 5 000,00;Û 5 000,00;Û 2 000,00;;27 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.1/0701-00/2420000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0701-00;U;2420000;Kantooruitrusting - gemeenschapsgoederen;IE5;Kantooruitrusting - gemeenschapsgoederen;Dieter;;Û 2 905,00;;;;;;2 905,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.1/0709-00/2140000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0709-00;U;2140000;Plannen en studies;IE5;studiekosten renovatie stookplaatsen buurthuis;Bruno;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.1/0709-00/2210500/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0709-00;U;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE5;electriciteit/verwarmingsketel buurthuis Korbeek-Lo;Bruno;Û 0,00;Û 0,00;Û 35 000,00;;;;;35 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.1/0709-00/2300000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0709-00;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE5;aankopen De Velpe & Buurthuis;Dieter;Û 0,00;Û 600,00;Û 3 700,00;Û 1 600,00;Û 3 000,00;Û 1 900,00;;10 800,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.1/0709-00/2420000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0709-00;U;2420000;Kantooruitrusting - gemeenschapsgoederen;IE5;aankoop rolgordijnen Buurthuis en De Borre;Dieter;Û 0,00;Û 7 200,00;;;;;;7 200,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.1/0740-00/2400000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0740-00;U;2400000;Meubilair - gemeenschapsgoederen;IE5;aanleg kleine buitensportterreinen;Maarten;;Û 0,00;Û 13 000,00;;;Û 5 000,00;;18 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.2/0701-00/2140007/BESTUUR/CBS/IE5/U;4.1.2.2;Verhogen van het zit- en kijkcomfort in de theaterzaal;0701-00;U;2140007;Plannen en studies - Activa in aanbouw;IE5;cultuur  Verhogen van kijk-en zitcomfort (studiekosten);Dieter/Bruno;;;Û 30 600,00;Û 20 400,00;;;;51 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.2/0701-00/2210500/BESTUUR/CBS/IE5/U;4.1.2.2;Verhogen van het zit- en kijkcomfort in de theaterzaal;0701-00;U;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE5;cultuur  Verhogen van kijk-en zitcomfort;Dieter/Bruno;;;;Û 510 000,00;;;;510 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.1.2.3/0709-00/6640000/BESTUUR/CBS/IE5/U;4.1.2.3;Voorzien van een toelage voor niet-gemeentelijke culturele infrastructuur;0709-00;U;6640000;Toegestane investeringssubsidies;IE5;investeringssubsidie CC Lovenjoel;Dieter;Û 38 000,00;; Û 28 000,00 ;;;;;66 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.2.1.4/0701-00/6640000/BESTUUR/CBS/IE6/U;4.2.1.4;Voorzien van een subsidie van de socio-culturele verenigingen;0701-00;U;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;Dieter;;Û 2 000,00;Û 0,00;Û 0,00;Û 0,00;Û 0,00;;2 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.2.1.6/0750-00/6640000/BESTUUR/CBS/IE6/U;4.2.1.6;Onderhouden en werken aan het patrimonium voor jeugdwerkinitiatieven;0750-00;U;6640000;Toegestane investeringssubsidies;IE6;investeringssubsidie FOS de Toekan;Kelly;Û 44 538,55;Û 119 654,94;Û 35 806,51;;;;;200 000,00;;;;;;;;;;;;
;GBB-CBS;Gelijkblijvend beleid CBS;0750-00;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;berging chiro Hiperlie;Kelly;;; Û 1 500,00 ;;;;;;;;;;;;;;;;;
BP2014_2019-2T/4.2.2.1/0701-00/2400000/BESTUUR/CBS/IE6/U;4.2.2.1;Uitbouwen van een integrale gemeentelijke uitleendienst;0701-00;U;2400000;Meubilair - gemeenschapsgoederen;IE6;aankopen materiaal uitleendienst;Dieter;Û 3 036,72;Û 0,00;Û 2 000,00;;Û 2 000,00;;;7 036,72;;;;;;;;;;;;
BP2014_2019-2T/4.3.1.2/0729-00/2250000/BESTUUR/CBS/IE6/U;4.3.1.2;Plaatsen en onderhouden van informatieborden bij monumenten;0729-00;U;2250000;Overige infrastructuur betreffende de wegen;IE6;erfgoedborden;Dieter;Û 0,00;;Û 3 000,00;;;;;3 000,00;;;;;;;;;;;;
