Code;Actie;Actie oms.;Beleidsitem code;Ontvangst/uitgave;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Eerste omschrijving;2014;2015;2016;2017;2018;2019;;totaal per project;;;
;;;;;;;;;;;;;;;;  12 761 463,41 ;;;

;;;;;;;;;  153 378,61 ;  3 904 976,79 ;  2 433 761,84 ;  2 234 409,50 ;  2 497 413,04 ;  1 772 717,60 ;;  12 996 657,38 ;;;

;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;

;;;0119-00;;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;;;;; 0,00;;;;  -   ;;;

