Code;Actie;Actie omschrijving;Beleidsitem code;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;totaal per project;;;;;;;;
BP2014_2023-5./3.5.1.2/0610-00/2140000/BESTUUR/CBS/IE4/U;3.5.1.2;Opmaken en uitvoeren van een RUP herstructurering oude melkerij Bierbeek;0610-00;2140000;Plannen en studies;IE4;Plannen en studies;;;;;11000;19000;;;;;;30000;;;;;;;;
BP2014_2023-5./3.5.3.6/0200-00/2240000/BESTUUR/CBS/IE4/U;3.5.3.6;Verbeteren van de toegankelijkheid van het Bruulbos;0200-00;2240000;Wegen;IE4;Wegen;;;;;0;50000;;;;;;50000;;;;;;;;
BP2014_2023-5./4.1.2.1/0701-00/2400000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0701-00;2400000;Meubilair - gemeenschapsgoederen;IE5;theatertechnische investeringen;4714.99;;8950.4699999999993;;38962;15538;5000;25000;25000;25000;;148165.46;;;;;;;;
BP2014_2023-5./4.1.2.1/0701-00/2420000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0701-00;2420000;Kantooruitrusting - gemeenschapsgoederen;IE5;Kantooruitrusting - gemeenschapsgoederen;;3215.14;;;0;6500;;;;;;9715.14;;;;;;;;
BP2014_2023-5./4.1.2.1/0709-00/2210500/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0709-00;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE5;electriciteit/verwarmingsketel buurthuis Korbeek-Lo;;;;5981.03;67000;;;;;;;72981.03;;;;;;;;
BP2014_2023-5./4.1.2.1/0709-00/2300000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0709-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE5;aankopen De Velpe & Buurthuis;;;;8399.82;4;1900;2000;2000;2000;2000;;18303.82;;;;;;;;
BP2014_2023-5./4.1.2.1/0740-00/2400000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0740-00;2400000;Meubilair - gemeenschapsgoederen;IE5;Overdracht krediet van 2017 naar 2018;;;;3932.5;6993.8;;;;;;;10926.3;;;;;;;;
BP2014_2023-5./4.1.2.2/0701-00/2140007/BESTUUR/CBS/IE5/U;4.1.2.2;Verhogen van het zit- en kijkcomfort in de theaterzaal;0701-00;2140007;Plannen en studies - Activa in aanbouw;IE5;Overdracht krediet van 2017 naar 2018;;;13627.5;45803.31;17639.300000000003;;;;;;;77070.11;;;;;;;;
BP2014_2023-5./4.1.2.2/0701-00/2210500/BESTUUR/CBS/IE5/U;4.1.2.2;Verhogen van het zit- en kijkcomfort in de theaterzaal;0701-00;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE5;Overdracht krediet van 2017 naar 2018;;;;870749.38;81000;;;;;;;951749.38;;8324.1600000000035;-8250.64;;;;;
BP2014_2023-5./4.1.2.3/0709-00/6640000/BESTUUR/CBS/IE5/U;4.1.2.3;Voorzien van een toelage voor niet-gemeentelijke culturele infrastructuur;0709-00;6640000;Toegestane investeringssubsidies;IE5;Overdracht krediet van 2017 naar 2018;38000;;;30508.95;20491.05;;;;;;;89000;;;;;;;;
BP2014_2023-5./4.2.1.6/0750-00/6640000/BESTUUR/CBS/IE6/U;4.2.1.6;Onderhouden en werken aan het patrimonium voor jeugdwerkinitiatieven;0750-00;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;44538.55;119654.94;;-60445.88;4000;96252.39;200000;;;;;404000;;;;;;;;
BP2014_2023-5./4.2.2.1/0701-00/2400000/BESTUUR/CBS/IE6/U;4.2.2.1;Uitbouwen van een integrale gemeentelijke uitleendienst;0701-00;2400000;Meubilair - gemeenschapsgoederen;IE6;aankopen materiaal uitleendienst;3036.72;;;;1600;3000;3000;3000;3000;3000;;19636.72;;;;;;;;
BP2014_2023-5./4.3.1.2/0729-00/2250000/BESTUUR/CBS/IE6/U;4.3.1.2;Plaatsen en onderhouden van informatieborden bij monumenten;0729-00;2250000;Overige infrastructuur betreffende de wegen;IE6;Overige infrastructuur betreffende de wegen;;;;;4500;;;;;;;4500;;;;;;;;
BP2014_2023-5./4.3.3.1/0720-03/2140000/BESTUUR/CBS/IE6/U;4.3.3.1;Restaureren en renoveren van de pastorie van Bierbeek;0720-03;2140000;Plannen en studies;IE6;Plannen en studies;;3993;;;;;;;0;;;3993;;;;;;;;
BP2014_2023-5./4.3.3.2/0720-03/2140000/BESTUUR/CBS/IE6/U;4.3.3.2;Vernieuwen van het dak van de Sint-Hilariuskerk;0720-03;2140000;Plannen en studies;IE6;Plannen en studies;16118.77;;;15516.62;0;12691.31;12691.31;;;;;57018.009999999995;;;;;;;;
